DATE,法巴新興市場智取債券基金,P014,安聯收益及增長基金,E016,富蘭克林入息基金,C026,施羅德環球股債增長,M022,摩根亞洲股票高息基金,V004,摩根IF下一代新興市場基金,K007,晉達環球黃金基金,H009,富蘭克林科技基金,C023,貝萊德世界礦業基金,R009,安聯中國未來科技基金,E018,富達亞洲特別機會,A016,霸菱環高抵債,N018
2026/05/19,10.06,-0.79%,8.6507,-0.82%,9.92,-0.30%,80.6134,0.11%,12.91,-0.62%,117,-0.72%,55.02,-3.71%,70.43,-0.83%,107.13,-3.36%,14.0443,0.34%,48.45,-2.18%,75.73,-0.16%
2026/05/20,10.14,0.80%,8.6695,0.22%,9.95,0.30%,80.4145,-0.25%,12.87,-0.31%,117.26,0.22%,56.21,2.16%,70.24,-0.27%,107.31,0.17%,14.1535,0.78%,49.5,2.17%,75.91,0.24%
2026/05/21,10.16,0.20%,8.7248,0.64%,9.99,0.40%,80.6016,0.23%,13.06,1.48%,118.56,1.11%,55.89,-0.57%,73.02,3.96%,109.54,2.08%,13.9384,-1.52%,50.43,1.88%,75.96,0.07%
2026/05/22,10.2,0.39%,8.7849,0.69%,10.02,0.30%,80.988,0.48%,13.13,0.54%,118.61,0.04%,55.39,-0.89%,73.53,0.70%,109.69,0.14%,14.2593,2.30%,51.63,2.38%,76.02,0.08%
2026/05/25,10.2,0.00%,8.7849,0.00%,10.02,0.00%,81.3525,0.45%,13.13,0.00%,118.61,0.00%,55.39,0.00%,73.53,0.00%,109.69,0.00%,14.2593,0.00%,52.97,2.60%,76.02,0.00%
2026/05/26,10.35,1.47%,8.8402,0.63%,10,-0.20%,81.4732,0.15%,13.24,0.84%,120.24,1.37%,57.93,4.59%,75.58,2.79%,113.52,3.49%,14.4904,1.62%,53.71,1.40%,76.16,0.18%
2026/05/27,10.39,0.39%,8.8371,-0.04%,10.02,0.20%,81.4796,0.01%,13.32,0.60%,121.11,0.72%,56.38,-2.68%,75.46,-0.16%,112.61,-0.80%,14.4341,-0.39%,53.87,0.30%,76.23,0.09%
2026/05/28,10.41,0.19%,8.8288,-0.09%,10.03,0.10%,80.8942,-0.72%,13.17,-1.13%,120.24,-0.72%,56.74,0.64%,76.81,1.79%,111.04,-1.39%,14.4615,0.19%,54.68,1.50%,76.29,0.08%
2026/05/29,10.47,0.58%,8.8735,0.51%,10.06,0.30%,81.2183,0.40%,13.26,0.68%,121.15,0.76%,57.91,2.06%,77.92,1.45%,114.03,2.69%,14.2973,-1.14%,54.59,-0.16%,76.4,0.14%
2026/06/01,10.38,-0.86%,8.8646,-0.10%,9.97,-0.89%,81.3088,0.11%,13.43,1.28%,120.53,-0.51%,56.51,-2.42%,80.18,2.90%,112.6,-1.25%,14.0423,-1.78%,55.8,2.22%,76.4,0.00%
2026/06/02,10.43,0.48%,8.9314,0.75%,9.99,0.20%,81.3381,0.04%,13.55,0.89%,121.23,0.58%,57.43,1.63%,81.37,1.48%,116.61,3.56%,14.3475,2.17%,56.53,1.31%,75.89,-0.67%
2026/06/03,10.36,-0.67%,8.9043,-0.30%,9.94,-0.50%,81.3017,-0.04%,13.56,0.07%,120.76,-0.39%,55.96,-2.56%,80.66,-0.87%,116.12,-0.42%,14.3788,0.22%,56.57,0.07%,75.81,-0.11%
2026/06/04,10.37,0.10%,8.8726,-0.36%,9.98,0.40%,81.1614,-0.17%,13.37,-1.40%,120.48,-0.23%,56.32,0.64%,79.73,-1.15%,116.23,0.09%,14.4138,0.24%,55.06,-2.67%,75.86,0.07%
2026/06/05,10.27,-0.96%,8.8144,-0.66%,9.92,-0.60%,81.0695,-0.11%,13.15,-1.65%,119.01,-1.22%,51.59,-8.40%,79.97,0.30%,110.94,-4.55%,14.0022,-2.86%,52.03,-5.50%,75.74,-0.16%
2026/06/08,10.22,-0.49%,8.7672,-0.54%,9.91,-0.10%,80.6991,-0.46%,12.74,-3.12%,117.36,-1.39%,52.21,1.20%,75.79,-5.23%,108.18,-2.49%,13.6559,-2.47%,51.85,-0.35%,75.75,0.01%
2026/06/09,10.27,0.49%,8.8121,0.51%,9.93,0.20%,80.5952,-0.13%,13.07,2.59%,120.63,2.79%,51,-2.32%,74.95,-1.11%,108.67,0.45%,14.0062,2.57%,51.66,-0.37%,75.76,0.01%
2026/06/10,10.26,-0.10%,8.7311,-0.92%,9.9,-0.30%,80.287,-0.38%,12.83,-1.84%,119.55,-0.90%,48.45,-5.00%,72.69,-3.02%,105.61,-2.82%,13.7005,-2.18%,51.13,-1.03%,75.75,-0.01%
2026/06/11,10.31,0.49%,8.6841,-0.54%,9.95,0.51%,80.2018,-0.11%,12.82,-0.08%,120.21,0.55%,50.96,5.18%,75.93,4.46%,104.79,-0.78%,13.6006,-0.73%,51.66,1.04%,75.88,0.17%
2026/06/12,10.42,1.07%,8.7718,1.01%,9.98,0.30%,80.7943,0.74%,13.14,2.50%,122.39,1.81%,52.67,3.36%,76.46,0.70%,109.65,4.64%,13.7763,1.29%,53.5,3.56%,75.98,0.13%
2026/06/15,10.54,1.15%,8.8544,0.94%,9.98,0.00%,81.5933,0.99%,13.39,1.90%,125.57,2.60%,56.5,7.27%,79.93,4.54%,114.59,4.51%,14.3353,4.06%,55.45,3.64%,76.13,0.20%
2026/06/16,10.58,0.38%,8.8879,0.38%,10,0.20%,81.64,0.06%,13.45,0.45%,125.82,0.20%,57.71,2.14%,77.64,-2.87%,114.99,0.35%,14.3724,0.26%,54.66,-1.42%,76.12,-0.01%
2026/06/17,10.57,-0.09%,8.8527,-0.40%,9.91,-0.90%,81.7292,0.11%,13.51,0.45%,125.93,0.09%,56.43,-2.22%,77.6,-0.05%,114.19,-0.70%,14.6294,1.79%,55.44,1.43%,76.06,-0.08%
2026/06/18,10.51,-0.57%,8.8523,0.00%,9.9,-0.10%,81.4888,-0.29%,13.51,0.00%,125.55,-0.30%,55.05,-2.45%,80.54,3.79%,110.66,-3.09%,14.8971,1.83%,56.78,2.42%,76.11,0.07%
2026/06/19,10.48,-0.29%,8.8523,0.00%,9.9,0.00%,81.2608,-0.28%,13.51,0.00%,125.35,-0.16%,53.62,-2.60%,80.54,0.00%,107.9,-2.49%,14.8971,0.00%,56.49,-0.51%,76.11,0.00%
2026/06/22,10.49,0.10%,8.9035,0.58%,9.87,-0.30%,81.2518,-0.01%,13.61,0.74%,125.2,-0.12%,53.99,0.69%,80.16,-0.47%,108.11,0.19%,15.0591,1.09%,57.51,1.81%,76.09,-0.03%
2026/06/23,10.49,0.00%,8.9035,0.00%,9.88,0.10%,80.8201,-0.53%,13.18,-3.16%,125.2,0.00%,53.99,0.00%,76.1,-5.06%,108.11,0.00%,15.0591,0.00%,53.85,-6.36%,76.05,-0.05%
2026/06/24,10.45,-0.38%,8.7669,-1.53%,9.89,0.10%,80.5917,-0.28%,13.15,-0.23%,122.49,-2.16%,49.55,-8.22%,76.12,0.03%,101.87,-5.77%,14.7229,-2.23%,54.34,0.91%,76.1,0.07%
2026/06/25,10.49,0.38%,8.7281,-0.44%,9.89,0.00%,80.3322,-0.32%,13.34,1.44%,122.47,-0.02%,49.89,0.69%,77.02,1.18%,100.68,-1.17%,14.9485,1.53%,54.83,0.90%,76.13,0.04%
2026/06/26,10.51,0.19%,8.6996,-0.33%,9.91,0.20%,80.249,-0.10%,13.04,-2.25%,123.45,0.80%,50.94,2.10%,75.93,-1.42%,102.4,1.71%,14.4954,-3.03%,54,-1.51%,76.12,-0.01%
2026/06/29,10.53,0.19%,8.7262,0.31%,9.92,0.10%,80.4393,0.24%,13.09,0.38%,123.08,-0.30%,50.48,-0.90%,78.18,2.96%,100.96,-1.41%,14.7296,1.62%,53.82,-0.33%,76.17,0.07%
2026/06/30,10.52,-0.09%,8.8048,0.90%,9.9,-0.20%,80.5569,0.15%,13.11,0.15%,123.32,0.19%,49.93,-1.09%,80.31,2.72%,100.61,-0.35%,15.0743,2.34%,55.81,3.70%,76.14,-0.04%
2026/07/01,10.39,-1.24%,8.7915,-0.15%,9.84,-0.61%,80.454,-0.13%,13.11,0.00%,123.79,0.38%,49.76,-0.34%,77.85,-3.06%,101.04,0.43%,15.0743,0.00%,54.88,-1.67%,75.59,-0.72%
2026/07/02,10.43,0.38%,8.8096,0.21%,9.91,0.71%,80.9063,0.56%,12.94,-1.30%,125.29,1.21%,51.92,4.34%,75.37,-3.19%,102.66,1.60%,14.2604,-5.40%,52.39,-4.54%,75.66,0.09%
2026/07/03,10.44,0.10%,8.8096,0.00%,9.91,0.00%,81.2361,0.41%,13.21,2.09%,125.37,0.06%,53.8,3.62%,75.37,0.00%,103.34,0.66%,14.3757,0.81%,54.43,3.89%,75.66,0.00%
2026/07/06,10.44,0.00%,8.7838,-0.29%,9.91,0.00%,81.4349,0.24%,13.24,0.23%,125.72,0.28%,52.87,-1.73%,77.04,2.22%,103.09,-0.24%,14.249,-0.88%,54.16,-0.50%,75.74,0.11%
2026/07/07,10.44,0.00%,8.7266,-0.65%,9.92,0.10%,81.4997,0.08%,13.05,-1.44%,125.48,-0.19%,50.84,-3.84%,74.81,-2.89%,101.32,-1.72%,14.0477,-1.41%,51.33,-5.23%,75.74,0.00%
2026/07/08,10.34,-0.96%,8.7152,-0.13%,9.87,-0.50%,80.8938,-0.74%,12.97,-0.61%,124.53,-0.76%,49.08,-3.46%,75.38,0.76%,98.48,-2.80%,14.0352,-0.09%,50.95,-0.74%,75.62,-0.16%
2026/07/09,10.37,0.29%,8.7798,0.74%,9.87,0.00%,80.6721,-0.27%,12.97,0.00%,124.88,0.28%,50.23,2.34%,77.24,2.47%,99.34,0.87%,14.4925,3.26%,52.93,3.89%,75.69,0.09%
2026/07/10,10.39,0.19%,8.7731,-0.08%,9.88,0.10%,80.8964,0.28%,13.03,0.46%,126.22,1.07%,50.46,0.46%,77,-0.31%,100.15,0.82%,14.0811,-2.84%,52.76,-0.32%,75.69,0.00%
2026/07/13,10.35,-0.38%,8.7391,-0.39%,9.88,0.00%,80.9365,0.05%,12.81,-1.69%,125.77,-0.36%,49.03,-2.83%,74.54,-3.19%,100.09,-0.06%,13.6751,-2.88%,50.43,-4.42%,75.62,-0.09%
2026/07/14,10.33,-0.19%,8.76,0.24%,9.83,-0.51%,80.7286,-0.26%,12.82,0.08%,125.97,0.16%,49.81,1.59%,76.14,2.15%,102.22,2.13%,13.9699,2.16%,50.7,0.54%,75.63,0.01%
2026/07/15,10.35,0.19%,8.7019,-0.66%,9.86,0.31%,80.8502,0.15%,13.07,1.95%,125.91,-0.05%,49.32,-0.98%,75.72,-0.55%,101.59,-0.62%,13.9075,-0.45%,50.83,0.26%,75.72,0.12%
2026/07/16,10.33,-0.19%,8.6437,-0.67%,9.9,0.41%,80.7887,-0.08%,12.88,-1.45%,125.66,-0.20%,47.72,-3.24%,73.25,-3.26%,98.78,-2.77%,13.6095,-2.14%,49.79,-2.05%,75.74,0.03%
2026/07/17,10.29,-0.39%,8.5613,-0.95%,9.88,-0.20%,80.5204,-0.33%,12.62,-2.02%,125,-0.53%,47.35,-0.78%,72.1,-1.57%,96.88,-1.92%,13.6095,0.00%,48.33,-2.93%,75.71,-0.04%
2026/07/20,10.27,-0.19%,8.628,0.78%,9.85,-0.30%,80.4801,-0.05%,12.59,-0.24%,125.44,0.35%,47.02,-0.70%,72.33,0.32%,97.37,0.51%,12.8056,-5.91%,48.44,0.23%,75.7,-0.01%
2026/07/21,10.28,0.10%,8.6319,0.05%,9.85,0.00%,80.5645,0.10%,12.88,2.30%,125.66,0.18%,49.31,4.87%,74.64,3.19%,98.52,1.18%,13.4249,4.84%,50.76,4.79%,75.65,-0.07%
2026/07/22,10.24,-0.39%,8.6651,0.38%,9.85,0.00%,80.835,0.34%,12.97,0.70%,125.38,-0.22%,51.04,3.51%,74.06,-0.78%,102.66,4.20%,13.0938,-2.47%,50.77,0.02%,75.6,-0.07%
2026/07/23,10.14,-0.98%,8.6306,-0.40%,9.81,-0.41%,80.6556,-0.22%,13.1,1.00%,124.96,-0.33%,49.88,-2.27%,72.99,-1.44%,101.61,-1.02%,13.1714,0.59%,49.58,-2.34%,75.36,-0.32%
2026/07/24,10.16,0.20%,8.5763,-0.63%,9.85,0.41%,80.6076,-0.06%,12.84,-1.98%,124.59,-0.30%,49.86,-0.04%,71.16,-2.51%,101.22,-0.38%,12.9458,-1.71%,49.11,-0.95%,75.4,0.05%
2026/07/27,10.24,0.79%,8.583,0.08%,9.88,0.30%,80.9888,0.47%,12.94,0.78%,125.13,0.43%,50.46,1.20%,70.61,-0.77%,101.64,0.41%,13.2219,2.13%,48.38,-1.49%,75.46,0.08%
2026/07/28,10.25,0.10%,8.4707,-1.31%,9.92,0.40%,80.9923,0.00%,12.47,-3.63%,124.73,-0.32%,49.48,-1.94%,69.12,-2.11%,99.84,-1.77%,12.6583,-4.26%,46.91,-3.04%,75.48,0.03%
2026/07/29,10.22,-0.29%,8.4609,-0.12%,9.88,-0.40%,80.9888,0.00%,12.3,-1.36%,124.97,0.19%,49.37,-0.22%,66.94,-3.15%,100.13,0.29%,12.7339,0.60%,45.21,-3.62%,75.4,-0.11%
2026/07/30,10.27,0.49%,8.5026,0.49%,9.91,0.30%,80.9923,0.00%,12.35,0.41%,127.01,1.63%,50.94,3.18%,70.58,5.44%,101.69,1.56%,12.3975,-2.64%,46.36,2.54%,75.48,0.11%
2026/07/31,10.26,-0.10%,8.533,0.36%,9.92,0.10%,80.5967,-0.49%,12.94,4.78%,126.56,-0.35%,49.5,-2.83%,71.52,1.33%,101.69,0.00%,12.743,2.79%,47.99,3.52%,75.5,0.03%
2026/08/03,10.24,-0.19%,8.5677,0.41%,9.91,-0.10%,80.6451,0.06%,12.88,-0.46%,128.05,1.18%,49.5,0.00%,73.06,2.15%,101.76,0.07%,12.6855,-0.45%,48.66,1.40%,75.5,0.00%
2026/08/04,10.3,0.59%,8.6615,1.09%,9.97,0.61%,80.9289,0.35%,12.9,0.16%,128.51,0.36%,52.04,5.13%,75.86,3.83%,106.29,4.45%,13.0613,2.96%,50.39,3.56%,75.28,-0.29%
2026/08/05,10.34,0.39%,8.7369,0.87%,9.95,-0.20%,82.018,1.35%,13.12,1.71%,129.04,0.41%,55.81,7.24%,75.05,-1.07%,110.8,4.24%,13.3893,2.51%,50.79,0.79%,75.3,0.03%
2026/08/06,10.34,0.00%,8.6775,-0.68%,9.94,-0.10%,82.0429,0.03%,12.95,-1.30%,128.61,-0.33%,56.2,0.70%,74.89,-0.21%,110.51,-0.26%,13.3166,-0.54%,50.26,-1.04%,75.28,-0.03%
2026/08/07,10.33,-0.10%,8.6928,0.18%,9.98,0.40%,82.3863,0.42%,12.89,-0.46%,128.99,0.30%,59.96,6.69%,76.17,1.71%,113.7,2.89%,13.5095,1.45%,50.2,-0.12%,75.4,0.16%
2026/08/10,10.33,0.00%,8.7022,0.11%,9.99,0.10%,82.4272,0.05%,12.95,0.47%,129.53,0.42%,60.22,0.43%,75.78,-0.51%,112.84,-0.76%,13.581,0.53%,50.13,-0.14%,75.37,-0.04%
2026/08/11,10.31,-0.19%,8.6873,-0.17%,10,0.10%,82.5622,0.16%,12.98,0.23%,130.39,0.66%,60.06,-0.27%,75.77,-0.01%,114.4,1.38%,13.4316,-1.10%,50.48,0.70%,75.34,-0.04%
2026/08/12,10.31,0.00%,8.7181,0.35%,10.01,0.10%,82.7327,0.21%,13.08,0.77%,130.49,0.08%,60.75,1.15%,76.94,1.54%,114.96,0.49%,13.5101,0.58%,51.71,2.44%,75.38,0.05%
2026/08/13,10.35,0.39%,8.7488,0.35%,10.04,0.30%,82.7299,0.00%,13.11,0.23%,129.87,-0.48%,59.32,-2.35%,77.71,1.00%,112.38,-2.24%,13.4976,-0.09%,52.37,1.28%,75.45,0.09%
2026/08/14,10.33,-0.19%,8.7559,0.08%,10.03,-0.10%,82.8373,0.13%,13.18,0.53%,129.85,-0.02%,59.73,0.69%,77.17,-0.69%,112.47,0.08%,13.4674,-0.22%,52.26,-0.21%,75.45,0.00%
2026/08/17,10.32,-0.10%,8.6997,-0.64%,9.99,-0.40%,82.7781,-0.07%,13.24,0.46%,129.63,-0.17%,61.36,2.73%,77.51,0.44%,113.3,0.74%,13.8395,2.76%,53.61,2.58%,75.42,-0.04%
2026/08/18,10.28,-0.39%,8.6343,-0.75%,10,0.10%,82.5115,-0.32%,13.12,-0.91%,129.21,-0.32%,59.52,-3.00%,74.92,-3.34%,112.47,-0.73%,13.7835,-0.40%,51.47,-3.99%,75.32,-0.13%
2026/08/19,10.31,0.29%,8.5933,-0.47%,10.05,0.50%,82.4817,-0.04%,12.97,-1.14%,129.24,0.02%,63.6,6.85%,74.25,-0.89%,115.84,3.00%,13.2032,-4.21%,51.38,-0.17%,75.39,0.09%
2026/08/20,10.29,-0.19%,8.5635,-0.35%,10,-0.50%,82.5164,0.04%,13.11,1.08%,129.72,0.37%,66.26,4.18%,74.28,0.04%,115.88,0.03%,13.2786,0.57%,51.83,0.88%,75.34,-0.07%
2026/08/21,10.31,0.19%,8.5661,0.03%,10.02,0.20%,82.9061,0.47%,13.31,1.53%,131.26,1.19%,68.02,2.66%,74.77,0.66%,121.72,5.04%,13.4389,1.21%,52.12,0.56%,75.39,0.07%
2026/08/24,10.32,0.10%,8.5273,-0.45%,10.03,0.10%,82.898,-0.01%,13.15,-1.20%,131.62,0.27%,68.35,0.49%,73.33,-1.93%,122.97,1.03%,12.9883,-3.35%,50.88,-2.38%,75.41,0.03%
2026/08/25,10.36,0.39%,8.5592,0.37%,10.05,0.20%,82.898,0.00%,13.22,0.53%,131.37,-0.19%,69.25,1.32%,74.3,1.32%,122.32,-0.53%,13.0387,0.39%,51.68,1.57%,75.52,0.15%
2026/08/26,10.35,-0.10%,8.5766,0.20%,10.04,-0.10%,83.0839,0.22%,13.32,0.76%,132.73,1.04%,68.27,-1.42%,74.44,0.19%,124.02,1.39%,13.0387,0.00%,52.31,1.22%,75.54,0.03%
2026/08/27,10.32,-0.29%,8.5842,0.09%,10.03,-0.10%,82.5522,-0.64%,13.32,0.00%,131.81,-0.69%,68.64,0.54%,76.17,2.32%,122.45,-1.27%,13.3285,2.22%,52.55,0.46%,75.54,0.00%
2026/08/28,10.27,-0.48%,8.5854,0.01%,10.03,0.00%,82.6659,0.14%,13.34,0.15%,131.27,-0.41%,66.92,-2.51%,74.88,-1.69%,123.45,0.82%,13.1959,-0.99%,52.84,0.55%,75.5,-0.05%
2026/08/31,10.24,-0.29%,8.5192,-0.77%,10.02,-0.10%,82.3375,-0.40%,13.19,-1.12%,129.56,-1.30%,66.92,0.00%,74.96,0.11%,119.46,-3.23%,13.2028,0.05%,52.02,-1.55%,75.5,0.00%
2026/09/01,10.13,-1.07%,8.4825,-0.43%,9.92,-1.00%,82.0143,-0.39%,13.29,0.76%,130.4,0.65%,63.54,-5.05%,73.53,-1.91%,117.6,-1.56%,12.9516,-1.90%,52.16,0.27%,74.81,-0.91%
2026/09/02,10.14,0.10%,8.4718,-0.13%,9.95,0.30%,81.8154,-0.24%,13.12,-1.28%,130.89,0.38%,64.34,1.26%,73.66,0.18%,118.7,0.94%,12.7895,-1.25%,51.88,-0.54%,74.79,-0.03%
2026/09/03,10.19,0.49%,8.5158,0.52%,9.97,0.20%,82.3392,0.64%,13.18,0.46%,131.76,0.66%,66.96,4.07%,74.85,1.62%,119.5,0.67%,12.7834,-0.05%,51.96,0.15%,74.84,0.07%
2026/09/04,10.22,0.29%,8.5525,0.43%,9.95,-0.20%,82.2787,-0.07%,13.31,0.99%,131.79,0.02%,66,-1.43%,75.52,0.90%,118.76,-0.62%,12.7894,0.05%,52.35,0.75%,74.84,0.00%
2026/09/07,10.2,-0.20%,8.5525,0.00%,9.95,0.00%,82.3222,0.05%,13.51,1.50%,131.09,-0.53%,66,0.00%,75.52,0.00%,119.61,0.72%,12.9457,1.22%,53.35,1.91%,74.84,0.00%
2026/09/08,10.21,0.10%,8.5475,-0.06%,9.93,-0.20%,82.3255,0.00%,13.39,-0.89%,131.59,0.38%,65.52,-0.73%,75.84,0.42%,121.61,1.67%,12.7916,-1.19%,53.23,-0.22%,74.77,-0.09%
2026/09/09,10.17,-0.39%,8.5438,-0.04%,9.9,-0.30%,82.0045,-0.39%,13.42,0.22%,130.74,-0.65%,66.12,0.92%,75.64,-0.26%,121.49,-0.10%,12.8376,0.36%,52.66,-1.07%,74.64,-0.17%
2026/09/10,10.11,-0.59%,8.4828,-0.71%,9.84,-0.61%,81.5477,-0.56%,13.38,-0.30%,129.58,-0.89%,64.14,-2.99%,74.48,-1.53%,116.96,-3.73%,12.6705,-1.30%,51.9,-1.44%,74.41,-0.31%
2026/09/11,10.1,-0.10%,8.517,0.40%,9.87,0.30%,81.6185,0.09%,13.23,-1.12%,129.79,0.16%,64.07,-0.11%,75.35,1.17%,117.78,0.70%,12.5808,-0.71%,52.29,0.75%,74.43,0.03%
2026/09/14,9.98,-1.19%,8.4512,-0.77%,9.86,-0.10%,81.1592,-0.56%,13.1,-0.98%,128.22,-1.21%,62.66,-2.20%,73.67,-2.23%,113.35,-3.76%,12.5333,-0.38%,50.72,-3.00%,74.31,-0.16%
2026/09/15,9.95,-0.30%,8.3825,-0.81%,9.84,-0.20%,81.0462,-0.14%,12.99,-0.84%,128.18,-0.03%,61.83,-1.32%,73.43,-0.33%,113.39,0.04%,12.5188,-0.12%,50.36,-0.71%,74.25,-0.08%
2026/09/16,9.98,0.30%,8.3867,0.05%,9.8,-0.41%,81.1427,0.12%,13.03,0.31%,127.5,-0.53%,61.69,-0.23%,73.79,0.49%,114.08,0.61%,12.6421,0.98%,51.29,1.85%,74.33,0.11%
2026/09/17,10.03,0.50%,8.4083,0.26%,9.85,0.51%,81.3146,0.21%,13.01,-0.15%,127.88,0.30%,62.6,1.48%,75.58,2.43%,115.23,1.01%,12.6109,-0.25%,51.15,-0.27%,74.45,0.16%
2026/09/18,9.98,-0.50%,8.4054,-0.03%,9.8,-0.51%,81.1825,-0.16%,13.11,0.77%,127.25,-0.49%,63.4,1.28%,76.38,1.06%,113.9,-1.15%,12.8425,1.84%,51.46,0.61%,74.33,-0.16%
